git config --global --unset-allMon, 09 May 2022 12:26:47 GMT: successfully added agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmUaYio6SJxb9NsXcFJfLWhZnJftoZ36J7du68uvratYvc
Fri, 02 Dec 2022 23:45:01 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmajW7M9RLrk2Wss1YfKpNm4G9hgsk8v3Nwi36odr2FhAs
Fri, 02 Dec 2022 23:05:01 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmUavju3A3nYmBeFD3sccMmPcAJ1t1XBdi6UjkokHr8Uyp
Fri, 02 Dec 2022 23:13:14 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmUn5HTwbgRRuAgq5iCFKAEVkAHWDjsJttvD2RzG7VJaY1
Fri, 02 Dec 2022 23:53:51 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmXbRGojeg3aG7a1LqojmVH1qXbpJYB2vfskmH87hA5apo
Fri, 02 Dec 2022 23:56:17 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmWDF2KU8FxyUHQ7a4X5FvisVk5CyTbNA4ifgNKZ8fWGTv
Tue, 06 Dec 2022 14:52:57 GMT: successfully added agent id 0x47c45816807d2eac30ba88745bf2778b61bc106bc76411b520a5289495c76db8 with manifest QmccuPXCJ7TYvpJAeR9eo4UVu8mmfcgsNeW7SRzS7JdaY2
Fri, 16 Dec 2022 22:24:05 GMT: successfully updated agent id 0x47c45816807d2eac30ba88745bf2778b61bc106bc76411b520a5289495c76db8 with manifest Qma5AEi3St9sAtkyo8faBL5q3KF5SVmWumvdKaN22vdG64
Fri, 16 Dec 2022 22:31:27 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmXSXffhLV37KeSaP7KGdy7GxtTJZVfE4eN2btUtSWbTrm
Sun, 18 Dec 2022 18:57:30 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest Qmau2FGHiKd9HPmAtjydg258L3iz7Zxm8kXnDu8pJf3UKv
Sun, 18 Dec 2022 19:03:11 GMT: successfully updated agent id 0x47c45816807d2eac30ba88745bf2778b61bc106bc76411b520a5289495c76db8 with manifest QmcGxSAkqzpoXujuxL8W5fe3SNuAPRyk7qcc5eW4b2G7Zt
Tue, 10 Jan 2023 16:50:07 GMT: successfully updated agent id 0x47c45816807d2eac30ba88745bf2778b61bc106bc76411b520a5289495c76db8 with manifest QmdZuGrGM278LkzViMGPuiivh58kemCmHj2VBF1YLnt94B
Wed, 11 Jan 2023 00:41:29 GMT: successfully updated agent id 0x47c45816807d2eac30ba88745bf2778b61bc106bc76411b520a5289495c76db8 with manifest QmPwLZzf4JG4rR4XCUyW5fotTLia8jBo5LC7pFfADoSee6
Wed, 11 Jan 2023 00:44:35 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmesiMSaqiqJNeKFBbSDv4uFMWRPTRo6bteotHvBaxpa9f
Thu, 26 Jan 2023 19:00:33 GMT: successfully updated agent id 0x47c45816807d2eac30ba88745bf2778b61bc106bc76411b520a5289495c76db8 with manifest QmZoDa1YppxsM9xBn4w8GzCNVTqudBgFCRwN7nKZX5YNGM
Fri, 27 Jan 2023 17:21:44 GMT: successfully updated agent id 0x47c45816807d2eac30ba88745bf2778b61bc106bc76411b520a5289495c76db8 with manifest QmSBfperME1HQxxB7uvFZ8UqyPaCPuTSrkfKttD5gM9JpZ
Fri, 27 Jan 2023 17:28:42 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmaKh1K2ro8cAAvAsifBesNcmFXfjB8Ac8FwPqFpsfHJAh
Mon, 30 Jan 2023 19:01:14 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest Qme7jsyubKvLdzKe1uyN2mp4Si62rNeD742r6T4UQBX7mk
Mon, 30 Jan 2023 19:03:22 GMT: successfully updated agent id 0x47c45816807d2eac30ba88745bf2778b61bc106bc76411b520a5289495c76db8 with manifest QmaCm3wRpHviDcrkqEhLhRyykDHRp3Fwm7vypJqbnQS6rm
Mon, 30 Jan 2023 19:05:39 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmaNQjg24xbPNipCEQGSyV3dr9otmhG63N9KiAD6Q7tfXK
Mon, 30 Jan 2023 19:08:04 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmSLpt7k82vH1SSe3LFtQuiJfER1zX6RmLzPMkCZNymgpz
Mon, 30 Jan 2023 19:17:57 GMT: successfully updated agent id 0x47c45816807d2eac30ba88745bf2778b61bc106bc76411b520a5289495c76db8 with manifest QmU9x1X3DkkmfwTG85XDUxGZLE9KrpNZsb5XtdgsYkDVjC
Mon, 30 Jan 2023 19:20:39 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmZswexsA492UFMDbZfxpzdP4bkYZukBht7s8QmBT7X6uP
Mon, 30 Jan 2023 19:48:24 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmXjSwYegRpqFqaR7THyQcL7vZmPkrb8p985XcNrsM3aCd
Mon, 30 Jan 2023 19:53:50 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmZxjSy2MmoEv5b3aVhxz2rQ8RzQw6NEWcYE8YGDW5AUiN
Mon, 30 Jan 2023 20:04:32 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmPNvhh4CmBun9f1FRsC4GgCCSTNvM5WvnCgFMH954tzij
Mon, 30 Jan 2023 20:31:25 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmNp3XA9bNse8LGNo73s3LtsBo8xVuvXwUos5zDCzhiYq1
Tue, 31 Jan 2023 01:29:58 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmbMbARQVTtqMj49yc8sB9PRVjHYVnfdw3jbuq9PafhyzC
Tue, 31 Jan 2023 01:45:38 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmT8U8JoPeZbGPVfEgXGXMHYAc7qzTBUFwSu56uyhcJEAS
Tue, 07 Feb 2023 21:48:15 GMT: successfully updated agent id 0x47c45816807d2eac30ba88745bf2778b61bc106bc76411b520a5289495c76db8 with manifest QmUzR1VZTYXJo4jB4AuQd1Kpst7qWSyo9eLfpUwFUgotA4
Tue, 07 Feb 2023 22:08:41 GMT: successfully updated agent id 0x47c45816807d2eac30ba88745bf2778b61bc106bc76411b520a5289495c76db8 with manifest QmcDcfRKQeY9BFsbW56XD5ts6ET8ptC9vuNhCTd3Q3KBnD
