Date	ChainId	Indicator	Verdict	ThreatCategory	Metric
8/25/23	56	0x886885f23079deaac51b10324d1c1ed94bdf72a9	TP	ice-phishing	precision
8/25/23	56	0xeac19bd6f6d3e231fd18371e02c195599a878a83	TP	ice-phishing	precision
8/27/23	56	0x7e03253ab148e2b263186fe07ad7da7a7cd04ff1	TP	ice-phishing	precision
8/22/23	56	0xbf160eb6ea47582962138b85e066428f7d3ae806	TP	ice-phishing	precision
8/23/23	56	0x4c10a462cd1e639da8a062ae8a33a23401120ab1	TP	ice-phishing	precision
8/25/23	56	0x54f40fe16375a34f74638c8924e78bec07d4c6a2	Likely FP	ice-phishing	precision
8/24/23	56	0x87ad7cddb40e3f9203523653a52d8847a0d76b48	TP	ice-phishing	precision
8/15/23	56	0x15d9fbe733e70efce6a772f5ced07cc8dca29e56	TP	address-poisoner	precision
8/19/23	56	0xa29d8ec7aa027b1d627add60d240f59081a8ece0	Likely FP	fraudulent-nft-orders	precision
8/18/23	56	0x1c861dbf434401a30fbb7f42bb9a2df970cb47d3	TP	native-ice-phishing-social-engineering	precision
8/15/23	56	0x875141527f864f979ed2fc4e048a8dcfdddd3cc3	TP	native-ice-phishing-social-engineering	precision
8/16/23	56	0x510ce07228631cf31475d764ad8d87eec0882fe0	TP	native-ice-phishing-social-engineering	precision
8/15/23	56	0x62f16882929ca86264b9e0fa7e3969c64152a50f	TP	native-ice-phishing-social-engineering	precision
8/16/23	56	0xad5d73aa1de4b059c90e40774134332121306203	TP	native-ice-phishing-social-engineering	precision
8/18/23	56	0xbac49f01ae1a22cbb04babdf37e96ab312da7b50	TP	native-ice-phishing-social-engineering	precision
8/19/23	56	0x9a603d82f04ce96ba2eaaaca81fdc4dc6673e037	TP	native-ice-phishing-social-engineering	precision
8/15/23	56	0x982a49d7bba9095b7f4ddbd0c99f3abccca84adb	TP	native-ice-phishing-social-engineering	precision
8/16/23	56	0xfab4dbef9f68aa7610fb0f7b790708d75635f5ec	TP	native-ice-phishing-social-engineering	precision
8/15/23	56	0x11050de316a16f053b5b24adfb8cf0fc0615ba94	TP	native-ice-phishing-social-engineering	precision
8/19/23	56	0xbc8c70b6c77a1677cc0a777bbe8e4420b2ab5802	TP	native-ice-phishing-social-engineering	precision
8/18/23	56	0x484c402b0c8254bd555b68827239bace7f491023	TP	native-ice-phishing-social-engineering	precision
8/19/23	56	0xa2c203d7ef78ed80810da8404090f926d67cd892	TP	native-ice-phishing-social-engineering	precision
8/18/23	56	0x000057c563abe43d6f6b794043724804cd3c0000	TP	native-ice-phishing-social-engineering	precision
8/16/23	56	0xdfd9750468280d48520949d9a9d75dd60d506bca	TP	native-ice-phishing-social-engineering	precision
8/20/23	56	0x20b2a614440128dfda5aacf2ce3478bbdffced69	TP	native-ice-phishing-social-engineering	precision
8/15/23	56	0x413ace4743881c1505c68c15461db11ea415fc0e	TP	native-ice-phishing-social-engineering	precision
8/15/23	56	0xbfcd6fa9764c246dd9b47bc660e1b9a9933ca0fc	TP	native-ice-phishing-social-engineering	precision
8/16/23	56	0x125c3ee23d1d33617e276f7bf778317ce363969a	TP	native-ice-phishing-social-engineering	precision
8/16/23	56	0x000061e3f0f3b885e31eee676ded50fff2490000	TP	native-ice-phishing-social-engineering	precision
8/15/23	56	0xa000ed743bcd488b9600904904080835d726afbe	TP	native-ice-phishing-social-engineering	precision
8/17/23	56	0x156bef2cc82ea00844617cc3ae4bd51b95242e84	TP	native-ice-phishing-social-engineering	precision
8/17/23	56	0x4c50c6390083de55bdcda9bf5ec542b4ba3be157	TP	native-ice-phishing-social-engineering	precision
8/16/23	56	0x2feafe398289cf20a9dcab80b2de66b7c86f72a9	TP	native-ice-phishing-social-engineering	precision
8/19/23	56	0xaf516750896062ce2aa596dc99110b051bcd7067	TP	hard-rug-pull	precision
8/15/23	56	0x8f9fd659d9942d10e9ae13cc62e64ffe261cfaee	TP	hard-rug-pull	precision
8/15/23	56	0x08aab008bb31c891a74f41caea4398a409eaa8af	TP	hard-rug-pull	precision
