banned_address,wallet_tag,data_source
0x336a3f0c4d40b1e39cee72e2e59330daf484848c,Fake_Phishing1512,etherscan-phish-hack-list
0x3376b087316f3697242a0b782fdf38cd088be9f4,Fake_Phishing5171,etherscan-phish-hack-list
0x337c7361e523d792b7ac6be7a67f5e51915f8cc8,Fake_Phishing924,etherscan-phish-hack-list
0x337e4ecc74d82dd658982334ba88e27beeef29c6,Fake_Phishing5474,etherscan-phish-hack-list
0x3389a9cacb4a3fdbe43db14d132b3f1e215a835d,Fake_Phishing1343,etherscan-phish-hack-list
0x3397f1a3be3ac6b02e8b0aef8b89d21f7fdaf35b,Fake_Phishing2947,etherscan-phish-hack-list
0x33afdd86b694d113ec4f8f1d55a284ebabec6081,Fake_Phishing3394,etherscan-phish-hack-list
0x33bcccb20da8d1f1c95ec723111ba7ca8a70ebf1,Fake_Phishing1467,etherscan-phish-hack-list
0x33bf8bde242216da572d6486d641ae0a18137306,Fake_Phishing506,etherscan-phish-hack-list
0x33cf1cee79766595db0270867b6b9feb8f30a01e,Fake_Phishing2452,etherscan-phish-hack-list
0x33d262cbb8d4bcc568f7809230ecf609dd31d379,Fake_Phishing2884,etherscan-phish-hack-list
0x33e02cc38790a07927c79d1ed75b72bcfb83766d,Fake_Phishing5574,etherscan-phish-hack-list
0x33e5d6c0447ea731fe4e2502a881b90ee991cf3a,Fake_Phishing1602,etherscan-phish-hack-list
0x33ed22f4b6b05f8a5faac4701550d52286bd735a,Fake_Phishing1701,etherscan-phish-hack-list
0x33eecbeae0f3d3b74a5c50662f091ff439115981,Fake_Phishing2700,etherscan-phish-hack-list
0x33f74739ce6be3b2c38af76f5adb3866cb4784c4,Fake_Phishing242,etherscan-phish-hack-list
0x34052df6bb69a7ccb54af356a6e8f56a7b3485fd,Fake_Phishing4863,etherscan-phish-hack-list
0x3414801e9d6bdf352d4d21a30cbb9a178d28381f,Fake_Phishing2980,etherscan-phish-hack-list
0x3422258c54c75b879ec7b2b1050186a2c0eb0ebd,Fake_Phishing2370,etherscan-phish-hack-list
0x34245ca43ccb96873acfa20703ae02f73bc89671,Fake_Phishing5262,etherscan-phish-hack-list
